Status,Transaction ID,ID,Shipping,Total
Completed,1836,168,0.0,540.0
Completed,1837,169,0.0,412.0
Completed,1838,170,0.0,452.0
Completed,1840,171,0.0,414.0
Completed,1841,172,0.0,897.0
Completed,1842,173,0.0,576.0
Completed,1844,174,0.0,4990.0
Completed,1845,175,0.0,594.3
Completed,1846,176,0.0,588.0
Completed,1847,123,0.0,517.5
Completed,1848,177,0.0,1330.6
Completed,1850,178,0.0,568.9
Completed,1851,179,0.0,449.1
Completed,1852,180,33.49,131.49
Completed,1859,181,0.0,449.1
Completed,1860,182,0.0,413.5
Completed,1861,183,0.0,576.0
Completed,1864,184,0.0,2352.0
Completed,1865,185,0.0,413.5
Completed,1866,186,0.0,996.0
Completed,1868,187,0.0,412.0
Completed,1870,188,0.0,839.5
Completed,1874,189,0.0,1080.0
Completed,1876,190,0.0,1972.0
Completed,1878,191,0.0,1176.0
Completed,1879,192,0.0,1244.0
Completed,1881,193,0.0,588.0
Completed,1882,170,0.0,488.0
Completed,1883,113,0.0,936.0
Completed,1885,194,0.0,2144.0
Completed,1887,195,83.42,443.42
Completed,1889,196,0.0,498.8
Completed,1890,197,0.0,490.0
Completed,1892,198,0.0,800.0
Completed,1893,199,0.0,449.1
Completed,1894,200,0.0,911.3
Completed,1896,201,0.0,408.0
Refunded,1897,202,0.0,1257.2
Completed,1907,202,0.0,-1257.2
Refunded,1898,202,0.0,1765.6
Completed,1908,202,0.0,-1765.6
Completed,1899,203,0.0,410.0
Completed,1909,204,0.0,588.0
Completed,1910,59,0.0,870.0
Completed,1911,205,0.0,466.0
Completed,1913,27,0.0,459.6
Completed,1914,206,210.36,1886.36
Completed,1915,207,34.06,170.06
Completed,1917,208,0.0,896.0
Completed,1918,156,0.0,402.6
Completed,1919,209,0.0,574.8
Completed,1920,210,0.0,463.4
Completed,1921,211,0.0,408.0
Completed,1922,212,0.0,596.0
Completed,1923,2,0.0,1240.0
Completed,1924,213,0.0,438.3
Completed,1926,155,0.0,485.4
Completed,1927,214,0.0,898.2
Completed,1928,59,0.0,429.8
Completed,1929,215,0.0,477.6
Completed,1932,216,0.0,754.0
Completed,1933,217,0.0,996.0
Completed,1934,218,0.0,998.0
Completed,1938,219,94.19,392.19
Completed,1940,212,0.0,490.0
Completed,1942,51,0.0,1922.0
Completed,1944,217,0.0,508.0
Completed,1945,220,0.0,400.0
Completed,1949,221,0.0,444.0
Completed,1950,217,0.0,990.0
Completed,1951,222,0.0,498.0
Completed,1952,223,0.0,468.0
Completed,1953,174,0.0,4341.6
Completed,1955,224,0.0,910.0
Completed,1956,225,0.0,804.0
Completed,1957,226,0.0,968.4
Completed,1958,227,0.0,1556.0
Completed,1959,228,0.0,486.0
Completed,1960,229,0.0,2032.0
Completed,1961,230,53.1,185.1
Completed,1962,231,0.0,409.6
Completed,1965,232,0.0,528.0
Completed,1966,233,0.0,468.0
Completed,1967,234,0.0,448.0
Completed,1968,235,0.0,1545.4
Completed,1970,145,0.0,1490.8
Completed,1974,236,0.0,570.0
Completed,1976,237,0.0,1153.7
Completed,1977,238,35.06,131.06
Completed,1979,239,184.43,2711.43
Completed,1981,159,0.0,597.6
Completed,1982,240,0.0,408.0
Completed,1985,241,0.0,576.0
Completed,1986,242,0.0,576.0
Completed,1987,243,0.0,591.4
Completed,1988,244,0.0,506.0
Completed,1989,245,0.0,448.0
Completed,1990,246,0.0,465.0
Completed,1991,247,0.0,1152.5
Completed,1992,97,0.0,668.0
Completed,1993,248,0.0,1074.0
Completed,1994,249,0.0,588.0
Completed,1995,250,0.0,576.0
Completed,1998,251,0.0,1251.0
Completed,1999,252,0.0,1140.0
Completed,2000,253,0.0,410.5
Completed,2001,254,0.0,431.0
Completed,2005,255,0.0,1212.0
Completed,2006,256,0.0,416.5
Completed,2007,257,0.0,744.0
Completed,2012,258,0.0,1434.0
Completed,2013,259,0.0,658.8
Completed,2014,260,0.0,421.8
Completed,2016,261,0.0,644.0
Completed,2019,262,0.0,1176.0
Completed,2020,263,0.0,568.9
Completed,2021,264,0.0,467.6
Completed,2022,69,0.0,882.0
Refunded,2023,265,0.0,1578.0
Completed,3039,265,0.0,-1578.0
Completed,2024,266,0.0,1492.0
Completed,2025,267,0.0,540.0
Completed,2028,268,0.0,98.0
Completed,2029,269,24.78,88.78
Completed,2030,270,0.0,616.0
Completed,2031,271,0.0,768.0
Completed,2033,272,15.0,143.0
Completed,2034,273,0.0,1621.9
Completed,2037,274,0.0,1080.0
Completed,2038,209,0.0,190.0
Completed,2040,126,0.0,547.0
Completed,2042,275,48.08,272.08
Completed,2043,3,0.0,440.0
Completed,2044,276,0.0,1176.0
Completed,2045,257,0.0,1754.0
Completed,2046,277,0.0,576.0
Completed,2047,278,0.0,442.0
Completed,2049,279,0.0,1128.0
Completed,2050,280,0.0,490.0
Completed,2051,217,0.0,1016.0
Completed,2052,281,0.0,490.0
Completed,2054,282,0.0,1602.0
Completed,2055,283,0.0,942.0
Completed,2057,284,0.0,1289.0
Completed,2058,285,0.0,816.0
Completed,2059,286,0.0,558.0
Completed,2060,287,0.0,1190.0
Completed,2061,288,0.0,568.0
Completed,2062,289,0.0,598.8
Completed,2063,290,0.0,3168.0
Completed,2064,291,0.0,470.0
Completed,2065,292,15.0,293.5
Completed,2070,293,56.64,224.64
Completed,2071,294,0.0,576.0
Completed,2072,295,0.0,1116.0
Completed,2073,296,0.0,516.0
Completed,2074,297,0.0,599.6
Completed,2078,298,0.0,576.0
Completed,2082,299,0.0,798.4
Completed,2085,300,0.0,590.0
Completed,2086,301,15.0,831.0
Completed,2087,302,0.0,436.0
Completed,2089,303,0.0,411.0
Completed,2093,304,0.0,588.0
Completed,2095,305,0.0,401.8
Completed,2096,306,0.0,1632.0
Completed,2097,307,0.0,558.0
Completed,2099,308,0.0,403.9
Completed,2100,309,0.0,528.0
Completed,2102,234,0.0,458.0
Completed,2103,310,0.0,414.0
Completed,2104,311,0.0,448.0
Completed,2105,312,15.0,131.0
Completed,2107,197,0.0,472.0
Completed,2110,189,0.0,1132.0
Completed,2111,313,0.0,607.8
Completed,2112,314,0.0,878.0
Completed,2113,315,0.0,400.0
Completed,2114,316,0.0,437.0
Completed,2115,317,0.0,568.0
Completed,2117,318,15.0,131.5
Completed,2118,303,0.0,432.0
Completed,2120,319,0.0,992.0
Completed,2121,145,0.0,1144.0
Completed,2122,320,0.0,410.9
Completed,2123,321,0.0,432.0
Completed,2124,322,0.0,440.0
Completed,2125,323,0.0,606.0
Completed,2126,324,0.0,528.0
Completed,2127,325,0.0,1434.0
Completed,2128,118,0.0,816.0
Completed,2131,326,34.18,178.18
Completed,2132,327,72.74,293.24
Completed,2133,219,101.34,209.34
Completed,2134,238,35.9,187.9
Completed,2135,328,47.66,243.66
Completed,2136,329,15.0,132.0
Completed,2138,330,0.0,422.0
Completed,2140,47,0.0,708.0
Completed,2142,128,0.0,634.0
Completed,2143,266,0.0,696.0
Completed,2144,331,0.0,756.0
Completed,2145,332,15.0,539.0
Completed,2146,333,0.0,1960.0
Completed,2147,334,0.0,558.0
Completed,2148,335,0.0,528.0
Completed,2149,336,0.0,432.0
Completed,2150,337,0.0,400.2
Completed,2151,338,0.0,453.2
Completed,2152,339,0.0,602.4
Completed,2153,340,0.0,419.2
Completed,2154,341,0.0,3584.5
Completed,2157,342,0.0,1026.5
Completed,2159,135,0.0,558.0
Completed,2161,343,0.0,528.0
Completed,2163,344,0.0,1066.0
Refunded,2164,345,0.0,998.0
Completed,3477,345,0.0,-998.0
Completed,2167,346,0.0,485.8
Completed,2169,347,0.0,1144.0
Completed,2170,348,0.0,498.9
Refunded,2171,349,0.0,430.4
Completed,2218,349,0.0,-430.4
Completed,2172,90,0.0,576.0
Completed,2173,283,0.0,1136.0
Completed,2174,350,0.0,1197.6
Completed,2175,351,0.0,423.0
Completed,2177,352,0.0,490.0
Completed,2178,255,0.0,430.0
Completed,2179,353,0.0,444.0
Completed,2180,354,0.0,438.9
Completed,2181,126,0.0,776.0
Completed,2182,355,0.0,614.0
Completed,2185,356,0.0,482.0
Completed,2186,357,0.0,540.0
Completed,2188,358,0.0,2328.0
Completed,2194,359,0.0,424.0
Completed,2195,335,71.01,369.81
Completed,2196,360,56.76,232.76
Completed,2197,197,0.0,500.0
Completed,2199,361,0.0,1322.0
Completed,2201,211,0.0,518.0
Completed,2202,362,0.0,439.0
